"Name","Organization","Homepage","Logo","Twitter","Crunchbase URL","Market Cap","Ticker","Funding","Member","Relation","License","Headquarters","Latest Tweet Date","Description","Crunchbase Description","Crunchbase Homepage","Crunchbase City","Crunchbase Region","Crunchbase Country","Crunchbase Twitter","Crunchbase Linkedin","Crunchbase Ticker","Crunchbase Kind","Crunchbase Min Employees","Crunchbase Max Employees","Category","Subcategory","OSS","Github Repo","Github Stars","Github Description","Github Latest Commit Date","Github Latest Commit Link","Github Release Date","Github Release Link","Github Start Commit Date","Github Start Commit Link","Github Contributors Count","Github Contributors Link"
"Airship","Open Infrastructure Foundation","https://www.airshipit.org/","https://landscape.cncf.io/logos/airship.svg","https://twitter.com/airshipproject","https://www.crunchbase.com/organization/open-infrastructure-foundation",,,,false,false,"Apache License 2.0","Austin, Texas","2022-01-27 00:38:45","Reference Airship manifests, CICD, and reference architecture.","Helping people build and operate open infrastructure that runs in production","https://openinfra.dev/","Austin","Texas","United States","https://twitter.com/openinfradev","https://www.linkedin.com/company/open-infrastructure-foundation/",,,,,"Provisioning","Automation & Configuration",true,"https://github.com/airshipit/treasuremap",41,"Reference Airship manifests, CICD, and reference architecture.","","https://github.com/airshipit/treasuremap/commit/ebc158953732f88cd057830c3d5c43d2dcc7f3fa","2021-12-06 20:04:17","https://github.com/airshipit/treasuremap/releases","2018-08-14 23:50:18","https://github.com/airshipit/treasuremap/commit/5c20bfa377b0e509310f89027eb8b0601fdc240a",114,"https://github.com/airshipit/treasuremap/graphs/contributors"
"Akri","Cloud Native Computing Foundation (CNCF)","https://docs.akri.sh","https://landscape.cncf.io/logos/akri.svg","https://twitter.com/ProjectAkri","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"sandbox","Apache License 2.0","San Francisco, California","2021-10-26 16:49:57","A Kubernetes Resource Interface for the Edge","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Automation & Configuration",true,"https://github.com/project-akri/akri",713,"A Kubernetes Resource Interface for the Edge","","https://github.com/project-akri/akri/commit/4cad8e767a7d67e0338cdf5da8d8cee4edb16d92","2021-10-29 16:20:47","https://github.com/project-akri/akri/releases","2020-10-14 00:42:19","https://github.com/project-akri/akri/commit/9414ef0fc705df90e7aab083453856b9f859809d",19,"https://github.com/project-akri/akri/graphs/contributors"
"Ansible","Red Hat","https://www.ansible.com/","https://landscape.cncf.io/logos/ansible.svg","https://twitter.com/ansible","https://www.crunchbase.com/organization/red-hat",120555036672,"IBM",0,"Platinum","member","GNU General Public License v3.0","Raleigh, North Carolina","2022-01-28 18:14:03","Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.","Red Hat is a multinational software company engaged in providing open-source software products to the enterprise community.","http://www.redhat.com","Raleigh","North Carolina","United States","http://twitter.com/redhat","https://www.linkedin.com/company/red-hat","IBM","market_cap",5001,10000,"Provisioning","Automation & Configuration",true,"https://github.com/ansible/ansible",51935,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.","","https://github.com/ansible/ansible/commit/d19b506ce8c5ee43865b1cead2246fc07cc8902b","2018-02-09 06:51:40","https://github.com/ansible/ansible/releases","2012-02-23 19:17:24","https://github.com/ansible/ansible/commit/f31421576b00f0b167cdbe61217c31c21a41ac02",6513,"https://github.com/ansible/ansible/graphs/contributors"
"Apollo","Trip.com","https://github.com/apolloconfig/apollo","https://landscape.cncf.io/logos/apollo.svg",,"https://www.crunchbase.com/organization/ctrip",22788715572,"CTRP.VI",500000,false,false,"Apache License 2.0","Shanghai, China","","Apollo is a reliable open-source configuration management system","Trip.com is a Chinese travel agency offering comprehensive services such as hotel reservations, air ticketing, packaged tours, and more.","https://www.trip.com","Shanghai","Shanghai","China","http://twitter.com/CtripEnglish","https://www.linkedin.com/company/ctrip","CTRP.VI","market_cap",10001,1000000,"Provisioning","Automation & Configuration",true,"https://github.com/apolloconfig/apollo",26224,"Apollo is a reliable configuration management system suitable for microservice configuration management scenarios.","","https://github.com/apolloconfig/apollo/commit/ced8ad9384e84e6b9641cd44d947a9de296a92d1","2022-01-01 04:36:35","https://github.com/apolloconfig/apollo/releases","2016-03-04 10:24:23","https://github.com/ctripcorp/apollo/commit/7f86c5ee0a0cbe99f3e893ac3e8b76518c218520",130,"https://github.com/apolloconfig/apollo/graphs/contributors"
"BOSH","Cloud Foundry Foundation","https://bosh.io/docs/","https://landscape.cncf.io/logos/bosh.svg","https://twitter.com/cloudfoundry","https://www.crunchbase.com/organization/cloud-foundry",,,,"Nonprofit","member","Apache License 2.0","San Francisco, California","2022-01-28 16:41:27","Cloud Foundry BOSH is an open source tool chain for release engineering, deployment and lifecycle management of large scale distributed services.","Cloud Foundry Foundation is an Independent non-profit organization that supports the Cloud Foundry collection of open source projects.","https://www.cloudfoundry.org/","San Francisco","California","United States","https://twitter.com/cloudfoundry","https://www.linkedin.com/company/2509135",,,51,100,"Provisioning","Automation & Configuration",true,"https://github.com/cloudfoundry/bosh",1965,"Cloud Foundry BOSH is an open source tool chain for release engineering, deployment and lifecycle management of large scale distributed services.","","https://github.com/cloudfoundry/bosh/commit/f85d0cc9768a890bfe46c374a3a1cd8ae284f8f7","2022-01-14 20:53:33","https://github.com/cloudfoundry/bosh/releases","2010-08-19 02:19:00","https://github.com/cloudfoundry/bosh/commit/37822ce7d8a4004b535258508c31be9fb67774c2",792,"https://github.com/cloudfoundry/bosh/graphs/contributors"
"Cadence Workflow","Uber","https://cadenceworkflow.io/","https://landscape.cncf.io/logos/cadence-workflow.svg","https://twitter.com/UberEng","https://www.crunchbase.com/organization/uber",68311625728,"UBER",25212450000,false,false,"MIT License","San Francisco, California","2022-01-26 20:16:09","Cadence is a distributed, scalable, durable, and highly available fault-oblivious stateful code platform.","Uber develops, markets, and operates a ride-sharing mobile application that allows consumers to submit a trip request.","http://www.uber.com","San Francisco","California","United States","http://twitter.com/uber","https://www.linkedin.com/company/uber-com/","UBER","market_cap",10001,1000000,"Provisioning","Automation & Configuration",true,"https://github.com/uber/cadence",5644,"Cadence is a distributed, scalable, durable, and highly available orchestration engine to execute asynchronous long-running business logic in a scalable and resilient way.","","https://github.com/uber/cadence/commit/a964dfbd6c86be936b5f9cd63b4c237ea302a021","2021-12-02 02:09:33","https://github.com/uber/cadence/releases","2016-10-24 23:07:32","https://github.com/uber/cadence/commit/685242e53fb0c0d9cbdd62fc7725418b528506eb",101,"https://github.com/uber/cadence/graphs/contributors"
"CDK for Kubernetes (CDK8s)","Cloud Native Computing Foundation (CNCF)","https://cdk8s.io/","https://landscape.cncf.io/logos/cdk-for-kubernetes-cdk8s.svg","https://twitter.com/CloudNativeFdn","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"sandbox","Apache License 2.0","San Francisco, California","2022-01-29 00:55:54","CDK8s lets you define Kubernetes apps and components using familiar programming languages and object-oriented APIs.","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Automation & Configuration",true,"https://github.com/cdk8s-team/cdk8s",2767,"Define Kubernetes native apps and abstractions using object-oriented programming","","https://github.com/cdk8s-team/cdk8s/commit/00d7965fa9cace1058d2c851112d5e1618042581","2021-10-13 20:21:32","https://github.com/cdk8s-team/cdk8s/releases","2019-07-25 12:45:22","https://github.com/cdk8s-team/cdk8s/commit/ec74749ed70d1e19f910a081433a8ce2444f1e1f",51,"https://github.com/cdk8s-team/cdk8s/graphs/contributors"
"CFEngine","CFEngine","https://cfengine.com/","https://landscape.cncf.io/logos/cf-engine.svg","https://twitter.com/cfengine","https://www.crunchbase.com/organization/cfengine",,,13000000,false,false,"Other","Palo Alto, California","2022-01-26 16:58:13","CFEngine Community","CFEngine is an open source configuration management product written by Mark Burgess and one of the products developed by Northern.tech, Inc.","https://cfengine.com/","Palo Alto","California","United States","https://twitter.com/cfengine","https://www.linkedin.com/company/cfengine/",,"funding",11,50,"Provisioning","Automation & Configuration",true,"https://github.com/cfengine/core",408,"CFEngine Community","","https://github.com/cfengine/core/commit/049018b8f756a41643fdbaa45372b310d56e4211","",,"2008-01-04 08:50:45","https://github.com/cfengine/core/commit/6cb587a75b008c3d50e58e4017713d3b49622171",142,"https://github.com/cfengine/core/graphs/contributors"
"Chef Infra","Chef Software","https://www.chef.io/","https://landscape.cncf.io/logos/chef-infra.svg","https://twitter.com/chef","https://www.crunchbase.com/organization/chef",,,105000000,"Silver","member","Apache License 2.0","Seattle, Washington","2022-01-28 23:45:02","Chef Infra, a powerful automation platform that transforms infrastructure into code automating how infrastructure is configured, deployed and managed across any environment, at any scale","Chef is a continuous automation platform powered by community and open source software engines.","https://www.chef.io/","Seattle","Washington","United States","https://twitter.com/chef","https://www.linkedin.com/company/chef-software/",,"funding",251,500,"Provisioning","Automation & Configuration",true,"https://github.com/chef/chef",6800,"Chef Infra, a powerful automation platform that transforms infrastructure into code automating how infrastructure is configured, deployed and managed across any environment, at any scale","","https://github.com/chef/chef/commit/e07819fd7fa439d2db8adbb4c8cb04f7182f2693","2020-02-20 06:51:07","https://github.com/chef/chef/releases","2008-03-06 07:31:38","https://github.com/chef/chef/commit/b5117775e86cff40399187b6292c98fba9dc5034",962,"https://github.com/chef/chef/graphs/contributors"
"Cloud Custodian","Cloud Native Computing Foundation (CNCF)","https://cloudcustodian.io/","https://landscape.cncf.io/logos/cloud-custodian.svg","https://twitter.com/CloudNativeFdn","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"sandbox","Apache License 2.0","San Francisco, California","2022-01-29 00:55:54","Rules engine for cloud security, cost optimization, and governance, DSL in yaml for policies to query, filter, and take actions on resources","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Automation & Configuration",true,"https://github.com/cloud-custodian/cloud-custodian",3978,"Rules engine for cloud security, cost optimization, and governance, DSL in yaml for policies to query, filter, and take actions on resources","","https://github.com/cloud-custodian/cloud-custodian/commit/ceb5b096f3d91b19044f8e046101724f94342ce3","2021-11-16 00:44:55","https://github.com/cloud-custodian/cloud-custodian/releases","2015-07-16 14:19:15","https://github.com/cloud-custodian/cloud-custodian/commit/5aa46308651d913d285039477b9141cf6ef3965d",343,"https://github.com/cloud-custodian/cloud-custodian/graphs/contributors"
